Price for 2,Dining Rating,Dining Rating Count,Location,Cuisine
400,4.2,575,Mylapore,South Indian
700,4.1,340,Nungambakkam,Cafe
800,4.4,547,RA Puram,"Continental,  North Indian,  Chinese,  Italian"
1000,3.8,563,Palavakkam,"Continental,  Italian,  North Indian,  Asian"
850,4,498,Teynampet,"Salad,  Italian,  Continental"
3500,4.2,740,Nungambakkam,Finger Food
2000,4.3,363,Alwarpet,Japanese
700,4,572,Mylapore,"South Indian,  North Indian,  Tea"
1600,3.6,410,Muttukadu,"Chinese,  Continental,  North Indian,  South Indian,  Seafood"
400,,Does not offer Dining,Anna Nagar East,"North Indian,  Mughlai,  Chettinad,  Chinese"
1000,3.6,387,Adyar,Continental
3100,4.1,564,"Hyatt Regency, Teynampet","North Indian,  South Indian,  Continental"
900,4,294,Nungambakkam,North Indian
500,2.4,559,Teynampet,"North Indian,  Chettinad"
650,4.4,436,Alwarpet,"Cafe,  Italian,  Bakery,  Desserts"
1800,4.4,563,Grande Bay Resort,"Singaporean,  Thai,  Asian,  Chinese,  Continental,  North Indian,  Malaysian,  Seafood"
1200,3.4,552,T. Nagar,"Cafe,  European,  Chinese"
300,4.2,301,Velachery,"Desserts,  Ice Cream"
450,3.9,708,Selaiyur,"Chinese,  Arabian,  North Indian"
2000,4.3,516,RA Puram,"Finger Food,  Pizza"
450,3.7,456,Adyar,"Pizza,  Fast Food,  Beverages"
500,4.1,589,Ambattur,"North Indian,  Chinese,  Chettinad,  BBQ,  Lebanese"
550,4.1,504,Anna Nagar East,"Italian,  Fast Food,  Beverages"
1300,4.4,378,Nungambakkam,"Italian,  Continental,  Healthy Food,  Mediterranean,  Fast Food"
400,4,452,Perungudi,"North Indian,  Chinese"
800,4,465,T. Nagar,"Malaysian,  Chinese,  North Indian,  Mughlai"
850,4.1,547,Thuraipakkam,"Seafood,  North Indian,  Chinese,  Andhra,  Biryani"
450,4.2,445,Kilpauk,"Chinese,  Beverages"
500,4,533,GST Road,Biryani
1100,4.2,522,Alwarpet,"Cafe,  Continental,  Salad"
1600,4.4,488,Teynampet,"North Indian,  South Indian,  Bengali,  Maharashtrian"
3000,4.4,517,"Radisson Blu Temple Bay, Mamallapuram","Seafood,  Mediterranean,  Italian,  North Indian"
600,4.4,499,T. Nagar,"South Indian,  Kerala"
700,3.9,361,Nungambakkam,"Chettinad,  Chinese,  North Indian,  Biryani,  Beverages"
700,4.3,462,Mogappair,"North Indian,  Chinese,  Fast Food,  Beverages"
3000,4,285,Holiday Inn Chennai OMR IT Expressway,"Continental,  North Indian,  Italian,  Chinese,  Fast Food"
1000,4.1,566,Injambakkam,"North Indian,  Chinese,  Thai,  Arabian"
1000,4.2,469,Nungambakkam,"Desserts,  Ice Cream,  Beverages"
500,4,497,T. Nagar,"North Indian,  Chinese,  South Indian"
350,,Does not offer Dining,Gopalapuram,Fast Food
500,4.1,454,Velachery,"Bakery,  Pizza,  Fast Food"
800,4.1,490,Anna Nagar East,"American,  Continental,  Italian,  North Indian,  Beverages"
850,3,499,Adyar,"South Indian,  North Indian,  Chinese,  Kerala"
450,4.4,482,Besant Nagar,"North Indian,  South Indian,  Sri Lankan,  Fast Food"
1200,3.9,492,"Hotel Centre Point, Sholinganallur","North Indian,  Chinese"
200,4.1,511,Nungambakkam,Street Food
600,,Does not offer Dining,Sholinganallur,"North Indian,  Biryani,  Chinese"
3000,4.3,479,Teynampet,"Continental,  North Indian,  South Indian,  Italian,  Asian"
450,4.1,507,Thousand Lights,"South Indian,  Chinese,  Fast Food,  North Indian"
1200,4.1,468,Gopalapuram,"Chinese,  Seafood"
850,3.9,198,Perambur,"Chinese,  North Indian,  South Indian"
1000,4.2,436,T. Nagar,"Asian,  Italian,  Mediterranean,  Beverages"
